,to,stops,times,distance,short_haul,medium_haul,long_haul,emissions_short,emissions_medium,emissions_long,emissions_stopovers,emissions
0,Paris,0,2.0,2056.505109868246,0.0,2056.505109868246,0.0,0.0,307.44751392530276,0.0,0.0,307.44751392530276
1,Innsbruck,0,2.0,1869.8386488642216,0.0,1869.8386488642216,0.0,0.0,279.54087800520114,0.0,0.0,279.54087800520114
2,Athen,0,2.0,4263.42722291994,0.0,0.0,4263.42722291994,0.0,0.0,630.987228992151,0.0,630.987228992151
3,Nuuk,1,2.0,7084.179815276822,0.0,0.0,7084.179815276822,0.0,0.0,1048.4586126609697,209.69172253219395,1258.1503351931638
4,Spain,0,2.0,4451.433093695301,0.0,0.0,4451.433093695301,0.0,0.0,658.8120978669045,0.0,658.8120978669045
5,Umeå,0,2.0,2008.2814689393965,0.0,2008.2814689393965,0.0,0.0,300.2380796064398,0.0,0.0,300.2380796064398
6,Nuuk,1,2.0,7084.179815276822,0.0,0.0,7084.179815276822,0.0,0.0,1048.4586126609697,209.69172253219395,1258.1503351931638
7,Stockholm,0,2.0,1045.4016611934535,1045.4016611934535,0.0,0.0,157.85565084021147,0.0,0.0,0.0,157.85565084021147
8,Umeå,0,2.0,2008.2814689393965,0.0,2008.2814689393965,0.0,0.0,300.2380796064398,0.0,0.0,300.2380796064398
9,Bruxelles,0,4.0,3060.413278872307,0.0,0.0,3060.413278872307,0.0,0.0,452.9411652731014,0.0,452.9411652731014
10,The Netherlands,0,2.0,1195.3964792217157,1195.3964792217157,0.0,0.0,180.50486836247907,0.0,0.0,0.0,180.50486836247907
11,Station Nord,2,2.0,6072.14698509133,0.0,0.0,6072.14698509133,0.0,0.0,898.6777537935168,359.47110151740674,1258.1488553109234
12,Banff,2,2.0,14432.68739156827,0.0,0.0,14432.68739156827,0.0,0.0,2136.0377339521037,854.4150935808416,2990.4528275329453
13,Ny Ålesund,2,4.0,10358.425595663266,0.0,0.0,10358.425595663266,0.0,0.0,1533.0469881581632,613.2187952632653,2146.2657834214288
14,Venedig,1,2.0,2268.9209972941753,0.0,2268.9209972941753,0.0,0.0,339.2036890954792,0.0,67.84073781909585,407.04442691457507
15,Helsinki,0,2.0,1764.5562911518114,0.0,1764.5562911518114,0.0,0.0,263.8011655271958,0.0,0.0,263.8011655271958
16,Nuuk,1,2.0,7084.179815276822,0.0,0.0,7084.179815276822,0.0,0.0,1048.4586126609697,209.69172253219395,1258.1503351931638
17,Oulu,1,2.0,2508.109306210919,0.0,2508.109306210919,0.0,0.0,374.9623412785324,0.0,74.99246825570648,449.95480953423885
18,Bruxelles,0,4.0,3060.413278872307,0.0,0.0,3060.413278872307,0.0,0.0,452.9411652731014,0.0,452.9411652731014
19,Stuttgart,1,2.0,1596.0805392606317,0.0,1596.0805392606317,0.0,0.0,238.61404061946442,0.0,47.72280812389289,286.33684874335734
20,Hamburg,0,2.0,575.2264366524279,575.2264366524279,0.0,0.0,86.8591919345166,0.0,0.0,0.0,86.8591919345166
21,München,0,2.0,1674.398390871127,0.0,1674.398390871127,0.0,0.0,250.32255943523347,0.0,0.0,250.32255943523347
22,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
23,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
24,Paris,0,1.0,1028.252554934123,1028.252554934123,0.0,0.0,155.26613579505258,0.0,0.0,0.0,155.26613579505258
25,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
26,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
27,Trento,0,2.0,2139.013338510149,0.0,2139.013338510149,0.0,0.0,319.78249410726727,0.0,0.0,319.78249410726727
28,Faro,1,2.0,5166.845993369698,0.0,0.0,5166.845993369698,0.0,0.0,764.6932070187153,152.93864140374305,917.6318484224583
29,Faro,1,2.0,5166.845993369698,0.0,0.0,5166.845993369698,0.0,0.0,764.6932070187153,152.93864140374305,917.6318484224583
30,Paris,0,1.0,1028.252554934123,1028.252554934123,0.0,0.0,155.26613579505258,0.0,0.0,0.0,155.26613579505258
31,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
32,Innsbruck,1,2.0,1869.8386488642216,0.0,1869.8386488642216,0.0,0.0,279.54087800520114,0.0,55.90817560104023,335.44905360624136
33,Marrakesh,0,2.0,6234.984105774144,0.0,0.0,6234.984105774144,0.0,0.0,922.7776476545733,0.0,922.7776476545733
34,Ålesund,1,2.0,1688.9195355548925,0.0,1688.9195355548925,0.0,0.0,252.49347056545642,0.0,50.49869411309129,302.99216467854774
35,Bruxelles,0,4.0,3060.413278872307,0.0,0.0,3060.413278872307,0.0,0.0,452.9411652731014,0.0,452.9411652731014
36,Stockholm,0,2.0,1045.4016611934535,1045.4016611934535,0.0,0.0,157.85565084021147,0.0,0.0,0.0,157.85565084021147
37,Australien,2,2.0,28510.13290771073,0.0,0.0,28510.13290771073,0.0,0.0,4219.499670341188,1687.7998681364752,5907.299538477663
38,Shanghai,1,2.0,16501.826538765694,0.0,0.0,16501.826538765694,0.0,0.0,2442.2703277373225,488.45406554746455,2930.724393284787
39,Innsbruck,1,2.0,1869.8386488642216,0.0,1869.8386488642216,0.0,0.0,279.54087800520114,0.0,55.90817560104023,335.44905360624136
40,Trento,1,2.0,2139.013338510149,0.0,2139.013338510149,0.0,0.0,319.78249410726727,0.0,63.95649882145346,383.73899292872073
41,Australien,1,1.0,14255.066453855365,0.0,0.0,14255.066453855365,0.0,0.0,2109.749835170594,421.9499670341188,2531.699802204713
42,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
43,Heraklion,0,2.0,6064.058156008925,0.0,0.0,6064.058156008925,0.0,0.0,897.4806070893209,0.0,897.4806070893209
44,Oslo,0,2.0,977.0250727616672,977.0250727616672,0.0,0.0,147.53078598701174,0.0,0.0,0.0,147.53078598701174
45,Cyprus,0,2.0,5547.705794526024,0.0,0.0,5547.705794526024,0.0,0.0,821.0604575898515,0.0,821.0604575898515
46,Faro,1,2.0,5166.845993369698,0.0,0.0,5166.845993369698,0.0,0.0,764.6932070187153,152.93864140374305,917.6318484224583
47,Dublin,0,2.0,2485.184573581418,0.0,2485.184573581418,0.0,0.0,371.535093750422,0.0,0.0,371.535093750422
48,Faro,0,2.0,5166.845993369698,0.0,0.0,5166.845993369698,0.0,0.0,764.6932070187153,0.0,764.6932070187153
49,Faro,1,2.0,5166.845993369698,0.0,0.0,5166.845993369698,0.0,0.0,764.6932070187153,152.93864140374305,917.6318484224583
50,Lyon,0,2.0,2453.4241245998332,0.0,2453.4241245998332,0.0,0.0,366.7869066276751,0.0,0.0,366.7869066276751
51,Paris,0,2.0,2056.505109868246,0.0,2056.505109868246,0.0,0.0,307.44751392530276,0.0,0.0,307.44751392530276
52,Oslo,0,4.0,1954.0501455233343,0.0,1954.0501455233343,0.0,0.0,292.1304967557385,0.0,0.0,292.1304967557385
53,Berlin,0,2.0,700.9046104600592,700.9046104600592,0.0,0.0,105.83659617946894,0.0,0.0,0.0,105.83659617946894
54,Wien,0,2.0,1729.1693388767512,0.0,1729.1693388767512,0.0,0.0,258.5108161620743,0.0,0.0,258.5108161620743
55,Nuuk,1,2.0,7084.179815276822,0.0,0.0,7084.179815276822,0.0,0.0,1048.4586126609697,209.69172253219395,1258.1503351931638
56,Faro,0,2.0,5166.845993369698,0.0,0.0,5166.845993369698,0.0,0.0,764.6932070187153,0.0,764.6932070187153
57,Florianopolis,2,2.0,21822.08810084986,0.0,0.0,21822.08810084986,0.0,0.0,3229.669038925779,1291.8676155703117,4521.536654496091
58,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
59,Station Nord,2,2.0,6072.14698509133,0.0,0.0,6072.14698509133,0.0,0.0,898.6777537935168,359.47110151740674,1258.1488553109234
60,Longyearbyen,0,2.0,5028.008975627298,0.0,0.0,5028.008975627298,0.0,0.0,744.1453283928402,0.0,744.1453283928402
61,Bergen,0,2.0,1362.491045841218,1362.491045841218,0.0,0.0,205.73614792202392,0.0,0.0,0.0,205.73614792202392
62,Grenoble,1,2.0,2518.5235336736114,0.0,2518.5235336736114,0.0,0.0,376.5192682842049,0.0,75.30385365684099,451.8231219410459
63,Stuttgart,0,2.0,1596.0805392606317,0.0,1596.0805392606317,0.0,0.0,238.61404061946442,0.0,0.0,238.61404061946442
64,San Francisco,0,2.0,17579.943687190593,0.0,0.0,17579.943687190593,0.0,0.0,2601.831665704208,0.0,2601.831665704208
65,Lyon,0,2.0,2453.4241245998332,0.0,2453.4241245998332,0.0,0.0,366.7869066276751,0.0,0.0,366.7869066276751
66,London,0,2.0,1915.731822560295,0.0,1915.731822560295,0.0,0.0,286.4019074727641,0.0,0.0,286.4019074727641
67,Newcastle,0,2.0,1806.7813166595101,0.0,1806.7813166595101,0.0,0.0,270.11380684059674,0.0,0.0,270.11380684059674
68,Grenoble,1,2.0,2518.5235336736114,0.0,2518.5235336736114,0.0,0.0,376.5192682842049,0.0,75.30385365684099,451.8231219410459
69,Geneva,0,2.0,2284.939273473518,0.0,2284.939273473518,0.0,0.0,341.59842138429093,0.0,0.0,341.59842138429093
70,Milan,0,2.0,2313.649168870052,0.0,2313.649168870052,0.0,0.0,345.8905507460728,0.0,0.0,345.8905507460728
71,Helsinki,0,2.0,1764.5562911518114,0.0,1764.5562911518114,0.0,0.0,263.8011655271958,0.0,0.0,263.8011655271958
72,Bristol,0,2.0,2211.690112029633,0.0,2211.690112029633,0.0,0.0,330.6476717484301,0.0,0.0,330.6476717484301
73,Bruxelles,0,2.0,1530.2066394361534,0.0,1530.2066394361534,0.0,0.0,228.7658925957049,0.0,0.0,228.7658925957049
74,Milan,0,2.0,2313.649168870052,0.0,2313.649168870052,0.0,0.0,345.8905507460728,0.0,0.0,345.8905507460728
75,Toulouse,1,2.0,3115.8032736536084,0.0,0.0,3115.8032736536084,0.0,0.0,461.13888450073404,92.22777690014681,553.3666614008808
76,Edinburgh,0,2.0,1975.4639408448736,0.0,1975.4639408448736,0.0,0.0,295.3318591563086,0.0,0.0,295.3318591563086
77,Thorshavn,0,2.0,2630.26458935961,0.0,2630.26458935961,0.0,0.0,393.2245561092617,0.0,0.0,393.2245561092617
